gate,value,limit,result
within_batch_nl_sd,0.04014439990833073,<= 0.03000 deg,FAIL
a_return_nl_shift,0.04135800000000023,0.05,PASS
a_return_curve_correlation,0.9770449586504117,>= 0.98000,FAIL
a_return_centered_rmse,0.15815496619460007,<= 0.10000 deg,FAIL
cross_jig_nl_delta,0.024454333333333356,0.06638387809236125,PASS
top_tail_delta,-0.11471900000000024,abs <= 0.10000 deg,FAIL
bottom_tail_delta,-0.09026466666666666,abs <= 0.10000 deg,PASS
zero_shift_curve_correlation,0.7082010389688556,>= 0.98000,FAIL
zero_shift_centered_rmse,0.5574510192592785,<= 0.10000 deg,FAIL
closure,0.11603,abs <= 0.20000 deg,PASS
data_health,invalid=0; config=PASS,0 invalid OFFICIAL; CONFIG=PASS,PASS
